site_code,latitude,longitude,status
4XXL3,36.071418,73.762456,
2M71C,32.604154,71.21223,
31BRD,27.436653,74.652127,
GZJCU,35.618758,76.141094,
UV05Y,24.79363,69.423837,
L6LR3,35.357117,74.884728,
BKE9N,31.716016,69.319162,
ICIKS,35.385243,70.686184,
9AB5U,33.755759,70.903001,
1KYW4,30.317015,71.264886,
0S4SL,30.982834,76.510904,
A7M51,24.675367,60.88866,
8Y0KD,34.548411,71.160463,
L12UQ,28.421929,67.021704,
LNWTT,36.321334,63.440641,
Q3FA7,25.054652,69.230838,
R4J1N,35.930421,60.80054,
YV29R,33.382444,72.303792,
SBJMX,25.220386,77.453346,
UKXO8,27.601692,70.792103,
73OJC,29.554249,66.268928,
1178G,30.303925,64.607287,
3P5FJ,29.99947,74.867177,
1DSU3,29.622436,75.166376,
YE8EN,25.831784,73.538966,
FMP72,31.13562,67.403715,
HSSH8,30.194984,69.770032,
0A2NX,29.291193,74.048937,
JM2JX,27.751485,67.464199,
MJB2C,31.12048,63.637493,
38BU2,33.109805,76.322656,
H3D7G,31.811326,64.253492,
QM61Y,26.150929,71.938988,
75OQW,28.508526,67.0839,
SPBJ8,32.657188,73.25473,
U9FQT,24.450055,69.151313,
YN5GZ,23.805417,64.013186,
K5W1R,28.910816,76.854824,
T7SXB,36.453092,74.391966,
8N7A1,31.929991,76.728259,
F91C2,36.134139,73.545793,
PF4XS,26.76975,71.532043,
8ON8D,24.474019,63.660209,
S7IWW,34.139439,61.632794,
6PYUR,28.25927,66.152019,
X6ZRE,27.213164,73.255383,
95YO1,24.605354,70.74084,
A8B0P,34.357294,61.311394,
KEBZI,31.587019,66.657323,
7MDAF,29.848641,70.435385,
0ZB8N,35.004247,72.448857,
NQK44,28.970662,65.266562,
BFA0E,36.815733,71.147461,
1TDQT,28.555353,67.857241,
JPAS1,31.086795,72.003978,
N2P2F,24.232494,69.594585,
APR7Q,27.471651,71.205643,
H6MD6,31.051275,71.122198,
58UXJ,29.322043,75.512404,
ASGXX,31.36653,64.535326,
NHDBB,27.451099,72.953129,
AGLAX,33.186004,74.136803,
P82A0,25.799314,62.601318,
W5ZY8,28.604704,70.317082,
MW7S4,28.030821,69.520011,
9JNAX,35.901267,66.346602,
UQ30Q,28.052181,76.004165,
FK9L3,31.451313,72.813022,
SS8TD,36.93181,77.354221,
WVO4I,26.527775,63.66084,
ALQNT,27.522332,61.370032,
3OQQR,23.779399,75.31481,
OMGA1,28.288318,76.858052,
JEHUF,25.614085,61.471936,
VTY6U,27.551803,76.39374,
GIGXK,31.479296,68.08589,
22W6J,28.289593,64.638332,
WZCDM,25.856042,63.486435,
9HXK9,34.246734,68.457889,
HTP4A,26.839774,73.856629,
NWTYS,25.653532,68.813965,
60A7A,32.370567,62.794596,
C5274,32.293391,62.708793,
7EAKM,30.626124,61.612883,
GH48G,34.562826,74.573664,
BJ7XJ,36.751092,66.302245,
YD7LQ,33.964172,72.57873,
HU8ZS,35.63746,74.129717,
3RTX2,31.330748,74.263976,
CJSDE,31.970493,74.417969,
77IVW,30.782624,67.413265,
JOWET,29.771513,72.207057,
9YL5P,36.16706,71.408477,
MTCD1,23.650243,71.351695,
SORZ6,32.156282,69.01769,
KLU16,31.898007,62.946146,
KUURK,36.663331,76.531152,
ERGXI,25.13113,66.255363,
MTIIQ,25.112888,70.33042,
U1D1S,25.555691,77.484259,
ICV6I,27.523598,69.624335,
S0KAM,28.380889,61.99122,
3ZFV9,26.92303,63.744411,
TD5LB,32.863866,61.127791,
KWNJE,36.38706,71.432188,
GG452,35.009431,76.531318,
F5FLE,23.590463,62.397064,
Z46FE,31.551357,67.723246,
MW6RE,27.932831,74.897579,
FM263,36.187499,61.949736,
7NS3J,36.557593,67.517695,
LOWA8,26.579841,72.014709,
KA761,29.563937,75.698029,
CWNGS,29.050363,70.67673,
P5SRA,27.568019,71.736715,
B0IA9,24.615923,65.678492,
62T4E,28.376435,67.811409,
GRTR0,25.398517,60.529233,
PH2G4,33.54037,62.831891,
8DZ4P,26.890374,68.577992,
9LN7S,28.386704,68.942098,
GZJ7J,31.878653,69.273418,
9N6NE,24.898863,70.656529,
S5PH0,27.937641,61.782879,
7QWAR,34.79081,60.832749,
37XPM,35.65023,72.726732,
EZ54S,35.342964,64.79958,
M3T9G,32.668432,62.704774,
QARHG,25.151461,71.349422,
Y9X2P,30.743313,73.073568,
WSZM5,29.785849,71.513935,
6H2J5,23.533151,76.236445,
E6YXG,30.949801,71.50882,
OM5PS,24.56177,63.571378,
2LBZ2,29.422376,69.250058,
EI8I4,31.938504,60.616129,
XMCOG,26.828964,69.126496,
WRUU7,28.545662,63.400316,
R2PYY,25.339276,65.318787,
5XX37,33.759739,61.81284,
U7AYA,25.682887,62.521522,
PSK6J,36.211886,72.026026,
F25EM,35.816294,69.954575,
GAFBF,26.284751,60.743862,
R5IPQ,35.747806,60.596109,
NPN75,33.161197,63.783554,
9DG77,24.234805,62.601701,
4NDUV,27.111131,71.880056,
44QDA,30.323644,65.888907,
YQ6CV,34.381494,75.59534,
P6CJG,31.410495,69.415686,
DYZST,23.575849,61.051559,
M5VNJ,35.306856,69.059951,
BMMN0,35.510268,74.786654,
C34VG,30.981888,64.689672,
1Q4CI,34.426352,64.278679,
JIVD4,29.235836,76.170964,
CK8L8,27.358388,76.048359,
A25QR,31.825857,63.627166,
7E8T0,30.788389,61.401867,
4KO6X,31.252417,72.632178,
RKGII,26.915313,67.450432,
BOQL4,35.608662,61.151332,
8MSU1,36.372666,64.496288,
C75I3,28.835644,73.584067,
SARN6,30.902206,76.010581,
HS1K9,29.458645,64.398385,
0AL68,36.518973,76.283304,
K53K5,36.809936,75.822454,
GMRG8,29.921362,71.304161,
0M06B,31.446887,73.805066,
F1EXB,24.501127,69.265618,
VGIT1,30.856765,75.703009,
UF5GT,28.491943,73.532681,
LW78J,33.098299,65.438965,
QE0CO,36.418564,67.047449,
0JO65,35.83557,65.660623,
DZFIH,32.247667,64.932266,
6CYOD,34.370116,63.223339,
P77J5,32.576156,72.859992,
7QUQV,27.112528,76.580411,
JF81A,31.865298,61.140538,
B2CJ8,25.560128,73.534281,
4NFRR,34.741356,68.224804,
QXKYZ,33.830596,66.757251,
M7DIP,36.956926,76.547149,
HQZ3S,36.886626,64.472669,
NELFY,29.659145,71.397205,
GR846,25.26499,65.55322,
I6RMH,29.800488,77.226907,
TYR6M,34.326971,69.741914,
ISSQ0,26.754709,65.712888,
76HDW,32.817944,68.205,
SPJ77,28.892865,66.619497,
95WDA,35.641212,61.079428,
7N50K,29.148489,71.149819,
6O730,32.931563,63.462552,
R7LJD,30.837406,61.025495,
IHAQY,24.11271,71.611075,
QIGTB,25.065679,65.448096,
BBA9P,33.14737,74.843436,
EL6Y7,24.6458,75.341936,
0T3BA,26.496003,67.22228,
KDPE9,35.185692,66.128637,
3W54U,35.57214,74.019261,
OVLTW,27.095106,72.772969,
IA9GJ,30.388619,74.002127,
RHRDZ,32.389387,61.01655,
OR8AS,29.616572,71.864464,
C3GXV,30.055349,74.856866,
1ENIP,34.788543,60.729009,
TJQGC,30.318548,75.184841,
ZGKKR,29.935423,66.29241,
6VG53,34.695671,69.897087,
4V9AF,23.515469,68.052709,
2YA5C,34.155771,64.705663,
9DN71,30.005143,61.217411,
EIARF,26.433717,71.530454,
6WZSK,30.699464,71.758714,
DU617,27.465291,75.369251,
DLYWY,27.137826,68.63469,
WVARN,31.160029,61.891283,
UOTB2,35.541746,75.072962,
GQRLA,28.54659,67.207104,
K60CW,31.875646,67.043269,
IVRG0,31.163413,66.98044,
YFDEW,26.129766,63.450862,
BKX3B,29.098877,70.720071,
QV846,36.363591,69.707013,
7AGS6,23.574228,69.966328,
58OAX,30.466779,64.019775,
A28BM,30.942928,69.047878,
X4ESK,32.96947,69.692668,
W5BQU,26.519237,77.110997,
OS7X9,27.157538,67.345775,
30AVP,23.533329,64.18617,
CUZ7M,30.59361,62.387728,
YYIAN,34.551726,67.614115,
ILGCK,26.408074,67.33074,
BJ79S,25.491863,65.064529,
TT8VN,26.483972,75.319116,
1BWDD,33.213554,75.751992,
5YK0Y,28.888158,64.687519,
28ZX1,34.515898,68.351389,
VFA6K,33.267076,71.272705,
6OF0W,28.192526,67.346351,
E74N6,30.600416,61.404169,
1L5AV,28.649385,70.12015,
T6XLI,25.953126,64.693155,
Q59Q9,24.742929,63.275022,
RC2S8,28.679859,77.393393,
3IZCO,35.366566,68.118041,
553AX,24.581491,76.41554,
D9DIP,28.812999,69.731403,
YBAOY,24.466777,62.356741,
B2LOU,28.203717,63.41592,
EYVM9,35.387667,73.964031,
PVANY,30.699296,70.468054,
9A5H8,28.500541,72.4196,
LFZY2,25.948609,68.497695,
R8USX,26.761666,70.947409,
02O58,32.719806,73.214143,
ZT7D4,24.011269,63.747154,
U03KX,29.08169,76.817338,
PMEBR,33.636667,71.329418,
OPMEI,28.991622,64.97381,
3TRIJ,33.733597,76.032009,
UH6RZ,36.845995,76.515549,
SEEO5,30.685847,64.344507,
87T3X,34.200256,73.352279,
GZWX5,32.200473,69.02191,
P68EB,34.364196,74.086018,
HIO60,33.263433,73.355242,
LL6A8,34.513089,62.688069,
5HQR2,35.535878,74.864592,
RGYH1,25.944541,69.803066,
XUNOZ,32.952987,75.131866,
PGO9D,30.921341,73.703981,
SPZML,25.056669,61.249094,
3LZ7O,27.597586,69.007008,
LOB2J,30.464174,61.891719,
OP5QU,25.999537,73.141078,
653ZW,30.120419,73.236481,
7NUF0,27.496486,72.159997,
8FK6Y,28.502507,72.502811,
ZBUBN,30.676207,64.571285,
EFEZL,36.979571,64.909493,
HXQ3V,28.423398,63.156571,
F1PME,34.839622,66.340806,
GQV11,30.925195,69.134609,
PPRUW,25.367709,74.285065,
ZL0QM,30.459518,70.682541,
19TRM,24.420344,65.536678,
0SCPZ,34.950838,68.582547,
M65XJ,32.69702,76.044155,
C61G4,36.704986,62.35221,
4K5C4,34.906107,68.608321,
JUCZJ,28.066066,76.711895,
70S4W,29.894186,61.118658,
TUB1W,31.890491,67.530418,
V9S2X,28.751133,64.522062,
PLTHC,25.878169,76.592768,
XSFCY,35.923485,70.494643,
KDTA5,24.97061,77.136821,
XFEN5,34.491637,67.924853,
IV8MA,27.51366,68.138103,
JLVT4,28.634952,77.067035,
XL368,32.22333,72.867496,
K28ID,34.498497,68.042413,
TK19I,23.575359,74.873973,
7U4N3,28.362824,65.990628,
NNPV6,27.806144,70.046141,
8OW95,30.557243,76.947642,
0PZFD,34.307812,73.137055,
HFAY0,30.262996,65.57208,
YTKSP,28.111688,70.746151,
62L8B,26.315263,70.77848,
5LDY4,34.506865,65.285193,
64UBW,32.171987,67.14265,
PCXA5,27.691398,66.784462,
XGBIK,30.514285,63.986152,
H7I9S,26.126054,64.344384,
B96TW,25.411377,61.365531,
93T9V,35.535042,67.366551,
QLYF5,27.978817,76.206285,
QJ8TN,24.79736,67.223639,
TNVUL,27.957344,61.41511,
B245O,36.466435,65.921485,
M1DTA,25.15092,68.426044,
P0R82,23.50616,72.358123,
U0PR6,28.162949,66.29398,
0IDSC,31.591473,65.372642,
49S9B,25.840526,65.478537,
P9VWC,36.80008,65.841153,
YYDYH,30.425829,61.260136,
YIR85,34.693697,67.785017,
C6REG,32.593199,69.331539,
7BBLB,35.07596,65.347465,
ISJJS,28.14338,67.396196,
IDBJC,32.335452,67.447248,
X6H60,33.817695,70.974129,
B2LCZ,28.882405,63.785792,
HFC5U,28.21011,75.086697,
6CUW1,33.223283,61.576995,
LJRG0,30.999743,61.841569,
U0HOU,26.227284,74.47375,
57T49,30.451444,62.811361,
DRSFY,27.056411,65.527711,
T31HE,26.735342,60.827563,
6YIS4,30.610233,72.28127,
C5PR6,29.436908,61.67083,
O16W7,35.809209,71.0877,
74X9L,33.226077,70.07341,
J7B0L,26.307042,63.167431,
AY39S,23.630818,62.328206,
4YXI8,32.285949,71.237846,
Z0O5O,24.487009,74.892995,
H0U75,24.6398,69.666188,
C2YVW,28.909407,70.876303,
TKGKM,36.004023,77.441575,
O8GQB,27.798544,76.2956,
YOL69,34.254732,62.300811,
FARUO,35.757667,75.992373,
E9JV4,29.244068,63.931274,
KRSPK,26.74944,71.539013,
ULCS6,32.698444,61.021997,
B4GSE,28.623793,72.364254,
6HLZC,36.634579,61.143159,
HS7VR,23.820312,65.824377,
Y2CEN,24.203637,73.323236,
E4XW2,26.610668,69.987508,
7E7GJ,34.487567,69.294304,
B6ZXQ,28.092794,62.242597,
6T6WT,33.854165,62.477572,
NANNU,28.178159,63.076545,
9NZGZ,32.625563,68.906169,
T4LM5,31.813586,72.535995,
NZ6QJ,24.98156,64.419367,
Q23VN,30.505372,63.943775,
NCWM0,28.54833,63.944623,
XVY9M,28.973987,75.472885,
Z4DCU,27.11694,61.926595,
9O52N,23.566933,77.267266,
XXFSP,27.399991,62.101518,
I6149,31.664786,70.833519,
WSK0S,34.015927,63.436786,
WX9OL,24.725863,69.771841,
M5HDE,31.535732,74.934964,
SZARM,26.738682,66.670778,
K27M1,29.020879,71.735602,
DUOLY,25.762204,68.546294,
LV91C,25.917876,66.343194,
W82Q3,25.935004,63.243137,
HX56C,29.678108,71.708146,
23ARU,33.059978,67.390533,
2H0E5,33.673316,65.5507,
ZE796,34.731537,75.732338,
2SERZ,27.251528,64.625746,
44Y1B,31.927237,60.54409,
AAZST,31.741174,61.476921,
WAFYF,28.480007,74.310611,
73HHA,36.137297,71.842536,
QWEMW,24.469032,69.250527,
93V07,26.857711,68.079726,
23SBB,25.029032,73.961513,
PUOKF,32.048529,75.297038,
H3OCH,36.038126,64.324745,
WD1M5,23.641094,64.90003,
7OI3B,35.191038,61.256014,
O336N,35.729917,69.706038,
JAVDV,28.712256,76.513261,
8TWSA,33.623579,66.791958,
P35DR,30.682664,72.329238,
0PYVP,36.944939,68.176074,
ZTAN3,30.330149,72.283381,
N67ZK,24.225567,68.387639,
6LWLK,36.763793,68.336283,
W11SL,27.575483,63.999811,
GPZS1,26.333692,61.199857,
DY90P,34.37018,62.889089,
RDU4K,28.594275,71.570901,
H5LJY,25.104434,61.153082,
B9725,34.873351,69.950444,
EQEG6,26.484865,63.005817,
PI6P5,30.362135,66.482301,
9B6Z0,35.402887,66.00315,
DTCEJ,33.586269,62.147771,
WHPLD,27.429777,64.114012,
XKZA7,24.434422,77.323804,
6Z0D2,29.245412,73.058613,
2X8C7,30.606603,60.656959,
8LUXP,29.926148,61.765945,
0ZIIL,28.94982,76.071463,
3CU10,34.216602,69.622938,
F3YI8,28.073681,61.789755,
DWKQ6,36.481106,65.89753,
OLJ76,27.23931,63.68973,
K6M7Z,25.886616,69.849111,
N7BR9,36.848988,65.379482,
7DR4O,31.308876,76.253781,
3QZ28,33.087758,76.919239,
9EXQ3,25.511434,69.930523,
DF5M5,29.780447,63.240936,
PVXR9,30.843154,71.060543,
MP075,29.338285,76.731103,
SJPPW,28.122445,76.163323,
70POX,32.347999,76.869675,
Q74DL,29.410595,67.515334,
N1440,27.784568,67.153443,
ZRGN5,34.059106,74.202908,
CYQHY,30.519606,77.283942,
MSQ1K,26.249971,71.716388,
UPFL3,25.292439,64.587965,
AV78R,31.666211,67.114743,
CZSAK,33.128972,66.026014,
CRQSP,25.784968,77.490314,
FDBTT,33.454116,77.258421,
A75J8,33.518802,72.45692,
6XAEE,35.783419,76.495048,
QWP4A,35.095122,63.962631,
9VQW4,34.553379,67.040126,
6LMGT,35.084022,62.31784,
LCU99,32.013458,62.848312,
H1P0V,36.004415,75.809169,
GQJAF,27.68073,62.652089,
KV0ZH,32.119079,69.031254,
1XKWE,33.486222,73.558084,
POK6B,27.021368,62.830127,
F7T2T,28.907398,64.110081,
W85WP,29.020312,73.38922,
TOXDJ,25.363863,61.035784,
P1MIP,23.769876,63.523752,
J22GN,33.023759,74.965385,
2VM5A,30.404824,64.46438,
J1JA4,36.378791,65.829942,
XD2TW,29.041062,66.604112,
S6CU0,25.191825,62.113088,
0Q12L,28.822629,73.243606,
G96S8,34.341451,66.58368,
Z7O9E,35.99247,76.677841,
IODCQ,25.883678,76.50024,
NGHAA,36.198314,61.184742,
783CS,26.688267,70.809868,
W2OZS,29.295931,66.194368,
F3QK0,30.984228,74.721591,
CQ6UP,33.135439,67.949675,
HPT82,30.536655,69.557893,
3S3DF,34.04644,75.876159,
PK9VQ,30.25337,76.311419,
CHX51,36.592261,61.460327,
W6858,28.482882,72.357299,
TKE4N,30.027415,66.120034,
QLBQT,25.884015,67.630756,
HJFRI,32.367881,68.722984,
E8K3P,24.315099,61.780592,
7O35Y,32.039873,61.744404,
KP9XR,25.963439,63.551962,
7T19C,31.071801,77.168453,
8RXV1,27.789651,72.873993,
JIH30,34.168742,70.728834,
VES85,33.402107,65.168654,
EL5D9,27.104761,72.41387,
KLUAT,27.206885,71.545337,
GQLNH,26.176347,69.82773,
OMB98,24.121371,73.798415,
5IN62,28.844808,65.821029,
VO4KE,33.495209,72.685633,
4T2L3,30.431322,67.831288,
GCMIR,23.581373,76.347424,
VS2B1,24.613811,73.648748,
EYTQY,35.350169,62.503456,
NKN4G,26.532791,63.777521,
ZN3QE,34.205221,69.790905,
0E7AQ,34.770355,68.094701,
PRIBX,31.952286,60.805115,
4FU5J,33.154584,69.305516,
2YOJY,27.021553,63.549897,
BRA7S,36.662075,74.182015,
SXCWI,27.729646,62.900052,
SG3JM,31.895406,69.699046,
J8UG1,29.992599,75.113516,
WMSIB,35.43213,76.928351,
F0O29,27.567993,70.21544,
1WJ3M,32.626833,68.052673,
DLHCX,28.228201,64.664097,
2SYY7,35.476914,73.837143,
4269E,33.997308,61.707506,
J9KRM,32.108428,63.580563,
5HXT6,30.038997,69.902654,
EMH65,36.22382,64.438002,
KK74B,31.42461,64.113169,
HWMH7,36.811685,63.975075,
SOZLN,27.66389,68.554495,
7MPWC,29.110669,75.125049,
I519M,25.152926,71.637002,
1SZJH,27.208198,76.001867,
D5B08,32.205901,60.692776,
SM8ND,30.430309,63.116458,
26E6L,36.082692,61.030998,
VYHYR,30.48645,64.74212,
HPZMM,26.679005,63.437418,
ZNES2,28.303409,74.399111,
1ZYDF,26.320281,71.631371,
LXU9X,31.758064,76.800112,
BSTWR,35.395187,69.712231,
WL78M,36.298407,72.976845,
5ZD42,33.442856,67.631352,
VGWEI,24.13176,70.572534,
6FKM7,31.558424,62.13213,
F7QHE,28.633809,60.619786,
U0HHF,24.677847,73.493301,
0FZPP,30.903728,74.509387,
E6029,30.786263,73.184352,
UJD3D,30.426477,67.143513,
0E5MX,26.372295,75.366631,
OTABF,33.260954,74.032965,
O5DIX,35.530249,61.366235,
IWDXI,27.623926,62.67675,
1RPPG,31.061183,75.011964,
56Q5H,30.546076,66.630582,
I2N03,31.691016,72.154707,
79U3W,23.94809,75.678433,
R71GC,25.152406,65.012527,
NXB6V,35.001779,62.786619,
I5POY,24.356455,75.018736,
9JOFK,28.322973,69.656212,
7O3X6,30.789559,68.033341,
3TTWF,31.771518,61.64745,
PJPVV,28.384711,75.620009,
8F6PF,24.370824,65.952225,
9IDKS,32.36324,61.308509,
28JNQ,34.786179,65.860238,
JVL5L,33.794788,76.678227,
FNP9J,33.525285,63.730839,
KFYC8,31.940165,70.907877,
WJ8H8,30.098932,61.430082,
9OI59,36.075759,74.654856,
ROKJP,29.530611,73.503896,
E4XNZ,23.910479,66.552816,
Y9S6S,36.111684,67.495043,
25IXY,36.377868,76.396581,
O9BP9,33.688352,67.009877,
ARHFZ,24.615033,74.41299,
S5RN7,33.012496,60.831388,
UDXEZ,36.764821,71.191803,
PUCRS,28.396065,61.315056,
TK1UH,32.519745,66.21594,
HHGCZ,24.092376,67.127523,
D1DC7,29.256936,75.144424,
R14VA,36.425038,76.013824,
IPC4F,23.891643,61.579832,
UFF9M,27.317349,72.199567,
HM411,34.837969,76.601137,
UQ7LQ,35.817564,70.159872,
LO4SX,27.086507,62.197795,
S8TXM,35.487344,70.848379,
P1H4W,26.469571,77.129536,
9L0RZ,34.533943,73.079676,
L9THB,33.712112,72.559921,
3JC0D,36.650978,71.991677,
WWBGC,35.439978,69.550789,
QTJ9M,30.84908,67.692621,
2KLQI,30.486991,65.04588,
7SS05,28.442517,73.189222,
GHQFO,25.882308,67.037864,
UTF5Z,29.622711,61.507499,
RXG1B,26.158425,75.302784,
25JLW,23.889391,71.205338,
AUUSG,29.882906,64.743227,
1H09V,34.727546,77.120032,
X6ST2,28.120485,72.204199,
JDI9P,30.742929,67.869582,
GPWB0,29.42381,75.880148,
RP510,31.929186,68.632282,
I9U4X,30.684108,73.137027,
DIX2D,35.320595,72.873857,
HCLTA,29.771627,70.004711,
O6VZ8,34.12235,64.654427,
CGUAL,26.535042,62.032879,
SF1P2,29.229493,74.258785,
HMPBJ,33.742299,73.00907,
GHU42,28.605845,60.565271,
ADYKO,32.358542,73.532027,
TSLRH,34.31333,66.404961,
4SAHX,24.269641,71.111667,
7U8NQ,32.707384,76.538914,
2ECJN,23.701897,62.945487,
F0B97,34.40737,62.779238,
M5UZT,35.339457,76.687165,
3ELDB,33.844099,73.257882,
CM6Y9,36.849789,68.944353,
BZ2A1,32.600571,62.071053,
YTVSE,23.574141,62.500142,
Q52KK,24.01901,65.152222,
SOZAX,31.089464,76.673316,
Q9LCY,31.989127,63.305076,
FAERR,29.475742,62.178826,
QP90D,30.793137,61.921407,
071UT,27.103559,61.453505,
XY8FH,34.661584,73.520467,
GZJ3Z,34.882917,76.339936,
9NMTR,36.284106,65.92246,
0CKUN,34.501128,72.71972,
H1ITF,31.016256,67.97615,
JH36T,34.074075,73.953801,
TS0MG,31.852399,71.627235,
86MIA,30.211212,62.759044,
A6RVK,24.446165,69.303273,
2R2K1,26.697643,71.350764,
F21VP,34.976834,76.881132,
AAQW6,36.650281,70.397792,
XI3ZF,30.284996,62.196199,
THT9V,35.34546,76.32147,
W5UZW,23.84516,74.200043,
S7Q6M,32.185072,72.356073,
6ZXMN,28.197327,60.64035,
2I97Q,33.202853,66.321395,
N0421,28.632688,67.046347,
8Q5NZ,31.094187,61.244248,
WID8Y,33.602709,72.627605,
GW229,31.90564,73.503835,
0LBSP,23.909291,67.107848,
FUML6,33.581402,67.111508,
T401Q,29.005671,72.532932,
CY9YF,29.351165,76.388937,
2CRPG,29.047661,67.944116,
YJIJF,28.300847,66.773975,
FLX71,34.986155,75.854898,
